event_id,user_id,region,category,amount,ts
1,913,us-east,marketplace,61.98,1700000001
2,1144,us-east,compute,22.65,1700000002
3,3457,us-east,ads,24.33,1700000003
4,1906,ap-northeast,compute,7.61,1700000004
5,1629,ap-northeast,storage,55.89,1700000005
6,4828,eu-central,ads,189.94,1700000006
7,1308,ap-south,marketplace,70.19,1700000007
8,1764,eu-central,ads,24.09,1700000008
9,793,eu-central,marketplace,151.33,1700000009
10,356,ap-south,compute,32.08,1700000010
11,3101,us-east,compute,74.0,1700000011
12,2963,ap-northeast,subscription,176.44,1700000012
13,376,us-west,marketplace,246.32,1700000013
14,1908,us-east,storage,70.22,1700000014
15,2989,us-west,marketplace,89.46,1700000015
16,2188,us-east,compute,159.11,1700000016
17,4376,us-west,subscription,116.1,1700000017
18,2212,ap-northeast,subscription,171.47,1700000018
19,459,us-west,ads,201.46,1700000019
20,3287,eu-central,ads,53.53,1700000020
21,4647,eu-central,subscription,164.2,1700000021
22,3242,ap-south,subscription,66.96,1700000022
23,2021,ap-northeast,compute,66.42,1700000023
24,4789,ap-south,compute,100.45,1700000024
25,1797,us-west,compute,123.89,1700000025
26,386,us-east,subscription,157.23,1700000026
27,3459,ap-northeast,ads,96.81,1700000027
28,4882,ap-south,compute,63.6,1700000028
29,4533,us-east,ads,170.75,1700000029
30,4399,eu-central,marketplace,28.78,1700000030
31,3562,us-west,storage,1.81,1700000031
32,2158,ap-northeast,subscription,127.41,1700000032
33,872,eu-central,compute,152.63,1700000033
34,1253,eu-central,subscription,135.31,1700000034
35,4345,us-east,compute,81.71,1700000035
36,160,us-east,marketplace,219.8,1700000036
37,2520,us-west,ads,60.98,1700000037
38,4648,us-east,ads,183.24,1700000038
39,567,ap-northeast,subscription,32.97,1700000039
40,3894,ap-northeast,subscription,67.0,1700000040
41,4970,ap-south,subscription,232.3,1700000041
42,1648,eu-central,storage,248.79,1700000042
43,3060,ap-south,compute,113.42,1700000043
44,2031,us-west,ads,85.18,1700000044
45,4820,ap-northeast,subscription,147.52,1700000045
46,59,us-east,ads,58.01,1700000046
47,258,eu-central,ads,129.02,1700000047
48,2282,ap-south,subscription,135.27,1700000048
49,4678,ap-northeast,storage,61.51,1700000049
50,3875,ap-south,subscription,24.49,1700000050
51,3532,eu-central,storage,103.36,1700000051
52,444,us-east,ads,101.25,1700000052
53,2780,us-east,subscription,48.71,1700000053
54,4394,ap-south,subscription,106.05,1700000054
55,2282,ap-south,subscription,218.75,1700000055
56,618,ap-south,compute,25.38,1700000056
57,4429,us-east,ads,231.67,1700000057
58,1937,us-west,storage,121.92,1700000058
59,1752,ap-south,ads,41.99,1700000059
60,18,ap-south,marketplace,231.7,1700000060
61,3728,eu-central,storage,174.45,1700000061
62,4553,ap-south,subscription,48.28,1700000062
63,1784,us-east,compute,184.2,1700000063
64,500,eu-central,ads,13.49,1700000064
65,3906,ap-northeast,compute,40.2,1700000065
66,4161,us-east,subscription,18.06,1700000066
67,557,us-west,storage,30.85,1700000067
68,4667,us-west,compute,149.04,1700000068
69,672,ap-south,compute,141.74,1700000069
70,2592,eu-central,subscription,167.76,1700000070
71,2574,us-west,marketplace,99.55,1700000071
72,2458,ap-south,marketplace,232.33,1700000072
73,595,us-east,storage,155.67,1700000073
74,4613,us-east,ads,134.87,1700000074
75,4145,eu-central,subscription,233.38,1700000075
76,564,us-west,marketplace,71.96,1700000076
77,3590,ap-northeast,marketplace,153.31,1700000077
78,4334,us-east,compute,75.55,1700000078
79,849,us-west,marketplace,29.74,1700000079
80,877,ap-northeast,subscription,68.81,1700000080
81,4955,us-west,marketplace,51.7,1700000081
82,2163,ap-northeast,storage,63.53,1700000082
83,417,us-east,storage,207.51,1700000083
84,362,us-east,marketplace,193.01,1700000084
85,2146,us-west,storage,138.37,1700000085
86,3504,ap-northeast,ads,28.86,1700000086
87,1222,ap-northeast,ads,208.81,1700000087
88,4772,ap-northeast,subscription,108.02,1700000088
89,343,eu-central,marketplace,224.85,1700000089
90,327,eu-central,subscription,170.83,1700000090
91,843,eu-central,compute,221.15,1700000091
